LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,1,45,15,42.0000,44.6383,45.0000,4.2094,53.1508,53.1508,53.1508,+Inf
16,64,1,45,15,41.2996,44.1278,44.0000,3.8014,53.1508,53.1508,53.1508,+Inf
16,128,1,45,15,40.9125,43.6232,44.0000,3.4353,53.1508,53.1508,53.1508,+Inf
16,256,1,45,15,40.2996,43.1205,43.4150,3.1138,53.1508,53.1508,53.1508,+Inf
16,512,1,45,15,39.8301,42.6188,43.0000,2.8388,53.1508,53.1508,53.1508,+Inf
16,1024,1,45,15,39.4150,42.1185,42.4150,2.6013,53.1508,53.1508,53.1508,+Inf
16,2048,1,45,15,38.8707,41.6188,41.8301,2.4144,53.1508,53.1508,53.1508,+Inf
16,4096,1,45,15,38.4150,41.1187,41.4150,2.2563,53.1508,53.1508,53.1508,+Inf
16,8192,1,45,15,37.8604,40.6184,40.8301,2.1317,53.1508,53.1508,53.1508,+Inf
16,16384,1,45,15,37.3347,40.1185,40.3561,2.0318,53.1508,53.1508,53.1508,+Inf
16,32768,1,45,15,36.9776,39.6178,39.8707,1.9537,53.1508,53.1508,53.1508,+Inf
